epoch,epoch_loss,split,loss,acc,sample_fn
0,2.0721393,train,1.1608453,0.6965432098765432,gumbel_soft
0,2.0721393,val,1.1963582,0.6924444444444444,gumbel_soft
0,2.0721393,test,1.147932,0.6913,gumbel_soft
1,0.86446387,train,0.6866856,0.699641975308642,gumbel_soft
1,0.86446387,val,0.69804215,0.6928888888888889,gumbel_soft
1,0.86446387,test,0.68286276,0.7021,gumbel_soft
2,0.65175116,train,0.6264458,0.7067407407407408,gumbel_soft
2,0.65175116,val,0.6383008,0.7004444444444444,gumbel_soft
2,0.65175116,test,0.6503337,0.7036,gumbel_soft
3,0.6322487,train,0.60784084,0.7099012345679012,gumbel_soft
3,0.6322487,val,0.62423694,0.6996666666666667,gumbel_soft
3,0.6322487,test,0.6120991,0.702,gumbel_soft
4,0.62167126,train,0.59986115,0.714925925925926,gumbel_soft
4,0.62167126,val,0.6010144,0.7072222222222222,gumbel_soft
4,0.62167126,test,0.5864943,0.7247,gumbel_soft
5,0.60321456,train,0.6009654,0.7127777777777777,gumbel_soft
5,0.60321456,val,0.60658514,0.7048888888888889,gumbel_soft
5,0.60321456,test,0.61538994,0.702,gumbel_soft
6,0.5805222,train,0.5767367,0.7157407407407408,gumbel_soft
6,0.5805222,val,0.5413248,0.757,gumbel_soft
6,0.5805222,test,0.5637982,0.7181,gumbel_soft
7,0.5801025,train,0.55331445,0.7365432098765432,gumbel_soft
7,0.5801025,val,0.5461863,0.7308888888888889,gumbel_soft
7,0.5801025,test,0.55084985,0.7342,gumbel_soft
8,0.5355678,train,0.5051277,0.7746913580246914,gumbel_soft
8,0.5355678,val,0.5420009,0.7491111111111111,gumbel_soft
8,0.5355678,test,0.48310643,0.8024,gumbel_soft
9,0.513719,train,0.5100444,0.7764691358024691,gumbel_soft
9,0.513719,val,0.5009843,0.7728888888888888,gumbel_soft
9,0.513719,test,0.48314503,0.7918,gumbel_soft
10,0.51264465,train,0.5010394,0.7699012345679013,gumbel_soft
10,0.51264465,val,0.5967348,0.7172222222222222,gumbel_soft
10,0.51264465,test,0.6001798,0.7449,gumbel_soft
11,0.510594,train,0.4864082,0.7806049382716049,gumbel_soft
11,0.510594,val,0.46614313,0.7862222222222223,gumbel_soft
11,0.510594,test,0.4618267,0.7988,gumbel_soft
12,0.4697935,train,0.45177376,0.8114567901234568,gumbel_soft
12,0.4697935,val,0.48479044,0.7864444444444444,gumbel_soft
12,0.4697935,test,0.42133462,0.8252,gumbel_soft
13,0.4711454,train,0.4331689,0.813,gumbel_soft
13,0.4711454,val,0.41645107,0.832,gumbel_soft
13,0.4711454,test,0.39704707,0.8336,gumbel_soft
14,0.4149552,train,0.4108468,0.8356419753086419,gumbel_soft
14,0.4149552,val,0.3985174,0.8445555555555555,gumbel_soft
14,0.4149552,test,0.40171206,0.8385,gumbel_soft
15,0.4341246,train,0.3996655,0.8398888888888889,gumbel_soft
15,0.4341246,val,0.39880374,0.8381111111111111,gumbel_soft
15,0.4341246,test,0.37612316,0.8554,gumbel_soft
16,0.3777259,train,0.36189583,0.8574197530864197,gumbel_soft
16,0.3777259,val,0.3325566,0.8854444444444445,gumbel_soft
