feature,value,0,1,2,3,4,5
attn_0_0_outputs,0,0.682106,0.2872445,0.2889551,-0.040213194,-0.11562307,0.3275966
attn_0_0_outputs,1,0.94612205,-0.49603388,-0.13217592,0.05116287,-0.05613201,-0.98117244
attn_0_0_outputs,10,0.64913327,0.076491356,-0.060959067,-0.39161244,-0.15194426,0.10299609
attn_0_0_outputs,11,-0.19618887,-0.020401219,-0.19488709,-0.4710426,-0.3779132,-0.10124656
attn_0_0_outputs,2,0.7690226,-0.3866299,-0.6997026,-0.48396084,-0.49695122,0.5588871
attn_0_0_outputs,3,-0.06141816,-0.7932303,-1.0464898,-0.23558389,-0.34423327,0.7444203
attn_0_0_outputs,4,0.53265154,1.2471585,-1.4083481,-0.5654106,-0.5513465,-1.2898194
attn_0_0_outputs,5,0.6627929,-0.6472637,0.48580498,-0.19501546,-0.31019247,-1.5042506
attn_0_0_outputs,6,0.4544349,-0.12169644,-0.22728315,-0.35574922,-0.43034536,-0.08784414
attn_0_0_outputs,7,0.24135217,-0.15556775,-0.6824764,-0.5396075,-0.6831036,-0.47685936
attn_0_0_outputs,8,0.4991394,0.1252167,-0.16669323,-0.069736734,-0.07549173,0.028899437
attn_0_0_outputs,9,-0.27006313,0.29426974,-0.064067654,-0.21819901,-0.087298,0.3001912
attn_0_1_outputs,1,1.8218688,-22.663977,10.910915,10.572114,10.406309,9.6444435
attn_0_1_outputs,2,0.3393241,6.983502,-28.322838,8.039322,8.133142,6.9674926
attn_0_1_outputs,3,1.3541446,7.8578396,9.56237,-26.548225,9.227438,8.598873
attn_0_1_outputs,4,0.9474405,7.7994547,9.275364,8.710333,-27.462574,8.215637
attn_0_1_outputs,5,1.3209628,7.079915,8.566268,8.242429,8.490227,-25.122969
attn_0_1_outputs,6,0.2463698,-0.7746103,0.8712904,0.5596736,0.71129626,-0.095676936
attn_0_1_outputs,7,-1.124749,-0.31313825,1.3506838,0.9890582,1.1046721,0.42466918
attn_0_1_outputs,8,-0.9162759,-0.25058478,1.3305253,0.9512638,1.1369187,0.47922784
attn_0_1_outputs,9,-1.0415848,-0.7238877,0.96477807,0.56506807,0.81202143,0.063237324
attn_0_1_outputs,</s>,-0.16687739,-0.124951996,0.34582606,-0.06249269,0.19663195,0.16603695
attn_0_1_outputs,<pad>,-0.053124294,-0.3065752,0.022204434,0.24910763,-0.7805914,0.1865871
attn_0_1_outputs,<s>,0.5598048,-0.17080687,0.046675596,0.016995616,-0.23021448,-0.20093907
attn_1_0_outputs,1,-0.19596663,1.7078879,-1.5500078,-1.8135573,-1.4631815,-0.04015927
